dataset,track,condition_id,method,reference_count,rrf_constant,queries,ndcg_at_10,recall_at_20,dense_depth,sparse_depth,sparse_support,sparse_exhaustion_rate,fallback_rate
arguana,controlled,primary,bridge_shared,5,60,1406,0.4003969700504824,0.9265054528212423,123.42792792792793,123.00711237553342,8616.804883831199,0.0,0.00023707918444760548
arguana,controlled,primary,dense_only,5,60,1406,0.3956404997787059,0.9193930772878142,164.69203413940255,164.2619724988146,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,mugi_controlled,5,60,1406,0.3842926058569953,0.9108582266477003,153.2316263632053,152.7633949739213,7508.769796111902,0.00047415836889521095,0.00023707918444760548
arguana,controlled,primary,original,5,60,1406,0.39411130512469195,0.9203413940256046,157.1009957325747,156.6628733997155,8587.830014224752,0.0,0.0
arguana,controlled,primary,proposed,5,60,1406,0.39912942136734836,0.9236605026078711,133.14319582740637,132.72190611664297,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_boolean_mask,5,60,1406,0.400472152631071,0.9265054528212423,123.39307728781412,122.97226173541964,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_only,5,60,1406,0.39783721690167356,0.9241346609767662,126.85846372688478,126.42603129445234,8587.830014224752,0.0,0.00023707918444760548
arguana,controlled,primary,sparse_references_only,5,60,1406,0.3843659165439636,0.9108582266477003,153.2375533428165,152.76932195353248,7508.769796111902,0.00047415836889521095,0.00023707918444760548
fiqa,ablation,primary,bridge_shared,1,60,648,0.35552531619730393,0.5211133773633774,1194.119341563786,1177.1219135802469,35332.937242798354,0.007716049382716049,0.0
fiqa,ablation,primary,dense_only,1,60,648,0.3655368190196016,0.5280797192062624,2705.099279835391,2574.0149176954733,28384.567901234568,0.027777777777777776,0.0
fiqa,ablation,primary,mugi_controlled,1,60,648,0.2832399814672593,0.4657861442969467,2390.7633744855966,2111.167695473251,22928.37705761317,0.037037037037037035,0.0
fiqa,ablation,primary,original,1,60,648,0.36486416313643805,0.5260367590228702,2178.956790123457,2076.33024691358,28384.567901234568,0.012345679012345678,0.0
fiqa,ablation,primary,proposed,1,60,648,0.36791970106319144,0.5318331616942727,1581.5102880658435,1495.4526748971193,28384.567901234568,0.018518518518518517,0.0
fiqa,ablation,primary,sparse_boolean_mask,1,60,648,0.3565567008151125,0.5235731232644812,1200.1430041152262,1161.6044238683128,28384.567901234568,0.011831275720164609,0.0
fiqa,ablation,primary,sparse_only,1,60,648,0.37734132903589374,0.5344682409497225,1701.7201646090537,1587.400205761317,28384.567901234568,0.01440329218106996,0.0
fiqa,ablation,primary,sparse_references_only,1,60,648,0.28661728398727965,0.4707807553100763,2448.4207818930045,2176.332304526749,22926.863683127573,0.03960905349794238,0.0
fiqa,ablation,primary,bridge_shared,3,60,648,0.36516404968119986,0.533787671519153,1027.2145061728395,1025.5704732510287,42778.14609053498,0.0005144032921810699,0.0
fiqa,ablation,primary,dense_only,3,60,648,0.3658532756540127,0.5295671206936639,2379.562757201646,2249.2716049382716,28384.567901234568,0.020576131687242795,0.0
fiqa,ablation,primary,mugi_controlled,3,60,648,0.3426696438406311,0.5196214036877618,1519.7932098765432,1508.6985596707818,37662.64146090535,0.005144032921810699,0.0
fiqa,ablation,primary,original,3,60,648,0.36486416313643805,0.5260367590228702,2178.956790123457,2076.33024691358,28384.567901234568,0.012345679012345678,0.0
fiqa,ablation,primary,proposed,3,60,648,0.3798616262651474,0.5399125594341644,1163.272119341564,1098.6486625514403,28384.567901234568,0.011316872427983538,0.0
fiqa,ablation,primary,sparse_boolean_mask,3,60,648,0.36631809491578377,0.5349428335153643,1133.766975308642,1123.3801440329219,28384.567901234568,0.011316872427983538,0.0
fiqa,ablation,primary,sparse_only,3,60,648,0.38387461878017626,0.5413890250695806,1543.1965020576133,1449.4382716049383,28384.567901234568,0.011316872427983538,0.0
fiqa,ablation,primary,sparse_references_only,3,60,648,0.339295140343096,0.516511267938737,1619.0493827160494,1605.9722222222222,36654.90843621399,0.004115226337448559,0.0
fiqa,controlled,primary,bridge_shared,5,60,648,0.36346630956316706,0.5390858398574447,1104.0545267489713,1103.5874485596707,46673.34722222222,0.0,0.0
fiqa,controlled,primary,dense_only,5,60,648,0.3643984720104689,0.530554674806218,2242.554012345679,2094.66975308642,28384.567901234568,0.020061728395061727,0.0
fiqa,controlled,primary,mugi_controlled,5,60,648,0.3580813543184074,0.5375854969219167,1305.0092592592594,1302.505658436214,45366.16563786008,0.0015432098765432098,0.0
fiqa,controlled,primary,original,5,60,648,0.36486416313643805,0.5260367590228702,2178.956790123457,2076.33024691358,28384.567901234568,0.012345679012345678,0.0
fiqa,controlled,primary,proposed,5,60,648,0.3780423656299448,0.5449657238623288,1096.1995884773662,1065.5884773662551,28384.567901234568,0.009259259259259259,0.0
fiqa,controlled,primary,sparse_boolean_mask,5,60,648,0.36274236667425785,0.5402191287222151,1128.4387860082304,1104.9182098765432,28384.567901234568,0.010288065843621397,0.0
fiqa,controlled,primary,sparse_only,5,60,648,0.3805609302782025,0.5446707955967215,1432.4212962962963,1361.6862139917696,28384.567901234568,0.011831275720164609,0.0
fiqa,controlled,primary,sparse_references_only,5,60,648,0.3444375673862635,0.5297554939916052,1638.2469135802469,1619.7726337448562,42777.69907407407,0.004115226337448559,0.0
nfcorpus,ablation,primary,bridge_shared,1,60,323,0.361390503473332,0.21323600981793303,392.15892672858615,292.96078431372547,1671.984520123839,0.11764705882352941,0.0
nfcorpus,ablation,primary,dense_only,1,60,323,0.3761585191423936,0.21537183422597372,550.6965944272446,201.10526315789474,561.5263157894736,0.5252837977296181,0.0
nfcorpus,ablation,primary,mugi_controlled,1,60,323,0.3479234463019369,0.20734797056364027,423.0990712074303,315.5686274509804,1587.2631578947369,0.12796697626418987,0.0
nfcorpus,ablation,primary,original,1,60,323,0.3669559523426591,0.20989375358537124,474.3715170278638,173.74303405572755,561.5263157894736,0.48606811145510836,0.0
nfcorpus,ablation,primary,proposed,1,60,323,0.3750172053470738,0.21835051029840788,455.18679050567596,158.15892672858618,561.5263157894736,0.4932920536635707,0.0
nfcorpus,ablation,primary,sparse_boolean_mask,1,60,323,0.37014757141732724,0.21771336343586037,426.5283797729618,140.3952528379773,561.5263157894736,0.48606811145510836,0.0
nfcorpus,ablation,primary,sparse_only,1,60,323,0.3683116130904181,0.21309462202392873,434.75748194014443,157.60165118679052,561.5263157894736,0.47574819401444784,0.0
nfcorpus,ablation,primary,sparse_references_only,1,60,323,0.34283725513003094,0.20664583227043265,455.76573787409706,335.9308565531476,1587.1527347781216,0.14035087719298245,0.0
nfcorpus,ablation,primary,bridge_shared,3,60,323,0.3764064233158957,0.2264747536100698,362.03508771929825,347.71413828689373,2777.296181630547,0.044375644994840036,0.0
nfcorpus,ablation,primary,dense_only,3,60,323,0.37585916493793947,0.21891183863173327,524.984520123839,186.9814241486068,561.5263157894736,0.5046439628482973,0.0
nfcorpus,ablation,primary,mugi_controlled,3,60,323,0.3766549441195903,0.22583204221118638,369.9659442724458,354.6222910216718,2769.6357069143446,0.044375644994840036,0.0
nfcorpus,ablation,primary,original,3,60,323,0.3669559523426591,0.20989375358537124,474.3715170278638,173.74303405572755,561.5263157894736,0.48606811145510836,0.0
nfcorpus,ablation,primary,proposed,3,60,323,0.37928161614319617,0.2203525367610264,418.28482972136226,138.39422084623322,561.5263157894736,0.47987616099071206,0.0
nfcorpus,ablation,primary,sparse_boolean_mask,3,60,323,0.3764477700751034,0.22117668889101366,383.8544891640867,122.80392156862744,561.5263157894736,0.4613003095975232,0.0
nfcorpus,ablation,primary,sparse_only,3,60,323,0.3714459189974363,0.21508355766564002,425.06604747162027,148.09597523219813,561.5263157894736,0.46852425180598556,0.0
nfcorpus,ablation,primary,sparse_references_only,3,60,323,0.371121349106572,0.22360238720370482,402.4313725490196,382.2435500515996,2758.628482972136,0.05056759545923632,0.0
nfcorpus,controlled,primary,bridge_shared,5,60,323,0.37801565649546365,0.22599197812084407,359.0536635706914,357.5872033023736,3211.5552115583077,0.011351909184726523,0.0
nfcorpus,controlled,primary,dense_only,5,60,323,0.3742070234936204,0.2172384400826006,507.36326109391126,182.93292053663572,561.5263157894736,0.5046439628482973,0.0
nfcorpus,controlled,primary,mugi_controlled,5,60,323,0.37785113484263105,0.22558061195216547,368.2590299277606,367.6584107327142,3211.107327141383,0.009287925696594427,0.0
nfcorpus,controlled,primary,original,5,60,323,0.3669559523426591,0.20989375358537124,474.3715170278638,173.74303405572755,561.5263157894736,0.48606811145510836,0.0
nfcorpus,controlled,primary,proposed,5,60,323,0.3793063400880092,0.21952937736602904,403.05882352941177,133.5190918472652,561.5263157894736,0.4674922600619195,0.0
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,323,0.3776936629257269,0.2202744116995453,376.44685242518057,120.69453044375646,561.5263157894736,0.4602683178534571,0.0
nfcorpus,controlled,primary,sparse_only,5,60,323,0.37136077088028757,0.21522267403697026,418.05985552115584,143.60165118679052,561.5263157894736,0.4582043343653251,0.0
nfcorpus,controlled,primary,sparse_references_only,5,60,323,0.37624436494207286,0.2219676927378518,409.06604747162027,406.29411764705884,3204.137254901961,0.01238390092879257,0.0
scidocs,ablation,primary,bridge_shared,1,60,1000,0.18935495226330934,0.27242222222222223,485.2253333333333,472.988,16323.942666666666,0.006,0.0
scidocs,ablation,primary,dense_only,1,60,1000,0.19276021748836236,0.27290000000000003,698.1076666666667,596.0946666666666,11503.031,0.025333333333333333,0.0
