dataset,query_id,draw_id,dense_residual_norm,dense_angle_degrees,sparse_support_equal,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct
nfcorpus,PLAIN-2580,0,0.2765240371227264,15.457401115952027,True,1.0,0,0.8,0.1999999999999999,0.84,0.0372293985581775,-13.4,5,-0.1257419730675569,0.0434782608695652,13.186813186813184,0.0,-0.1257419730675569,0.0,54.12087912087913,37.64044943820225,-0.1257419730675569,0.0434782608695652,63.18681318681318,50.0
nfcorpus,PLAIN-2580,1,0.2637424767017364,14.774883100894527,True,1.0,0,0.75,0.25,0.85,0.0375295617490214,11.6,5,-0.1257419730675569,0.0,13.186813186813184,0.0,-0.1257419730675569,0.0,46.84065934065934,27.715355805243448,-0.1257419730675569,0.0,52.19780219780219,35.0187265917603
nfcorpus,PLAIN-2580,2,0.2623090744018554,14.698069378374846,True,1.0,0,0.8,0.1999999999999999,0.88,-0.0556851436125765,6.2,5,-0.1257419730675569,0.0,-55.082417582417584,0.0,-0.170349647911678,0.0434782608695652,28.434065934065934,2.621722846441943,-0.1860952798106422,0.0434782608695652,35.57692307692307,12.35955056179775
nfcorpus,PLAIN-259,0,0.3009036779403686,16.746734183974528,True,1.0,0,0.55,0.4499999999999999,0.72,0.059265071949506,54.2,5,0.0947883643695507,0.0714285714285714,-72.07461842849068,0.0,0.0,0.0,36.68739400791408,0.0,0.0947883643695507,0.0714285714285714,79.64951950254381,52.443857331572
nfcorpus,PLAIN-259,1,0.2276043146848678,12.822330197885208,True,1.0,0,0.7,0.3,0.73,0.0166389021708089,24.8,5,0.0,0.0,0.7348784624081395,0.0,0.0,0.0,47.71057094403618,0.0,0.0,0.0714285714285714,64.38665912945167,16.77675033025099
nfcorpus,PLAIN-259,2,0.2599593698978424,14.57203564688788,True,1.0,0,0.7,0.3,0.66,0.0393326234456289,35.8,5,0.0,0.0,29.56472583380441,0.0,0.0,0.0,54.2679479932165,0.0,0.0,0.0714285714285714,71.05709440361787,32.36459709379128
nfcorpus,PLAIN-2590,0,0.3019366264343261,16.800988538887214,True,1.0,0,0.6,0.4,0.71,0.0028738223385166,63.333333333333336,27,0.0009166922055824,0.0158730158730158,12.549019607843135,12.598425196850393,0.0009166922055824,0.0,55.294117647058826,55.118110236220474,0.00202259740676,0.0158730158730158,43.92156862745098,44.09448818897638
nfcorpus,PLAIN-2590,1,0.2614490389823913,14.65195550002594,True,1.0,0,0.55,0.4499999999999999,0.72,0.0062010885744283,69.66666666666667,27,0.0684613076821393,0.0158730158730158,28.627450980392155,28.740157480314966,0.0442924735169195,0.0,61.96078431372549,61.81102362204725,0.0667680801664506,0.0158730158730158,60.0,60.23622047244095
nfcorpus,PLAIN-2590,2,0.301944375038147,16.80139540773711,True,1.0,0,0.55,0.4499999999999999,0.71,0.0052818179063215,76.22222222222223,27,0.0684613076821393,0.0158730158730158,19.6078431372549,19.685039370078737,0.0,0.0158730158730158,55.68627450980392,55.51181102362205,0.0470425501336668,0.0158730158730158,50.588235294117645,50.78740157480315
nfcorpus,PLAIN-2600,0,0.3957135081291199,21.589374722505145,True,1.0,0,0.4,0.6,0.83,0.0101742919389978,3.8,5,0.0292175814091437,0.0,-3.3898305084745672,-1.6949152542372836,0.024684139323829,0.0,0.0,0.0,0.003170202033208,0.0,44.067796610169495,44.067796610169495
