dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
nfcorpus,controlled,primary,mugi_controlled,5,60,50,0.37740417889276195,0.22790794850987484,0.1475748194014448
nfcorpus,controlled,primary,mugi_controlled,5,60,100,0.37702051379808904,0.22211603010710598,0.434468524251806
nfcorpus,controlled,primary,mugi_controlled,5,60,200,0.3779009169554222,0.22417606758445294,0.6831785345717234
nfcorpus,controlled,primary,mugi_controlled,5,60,500,0.3778511348426311,0.22450516635325288,0.8699690402476781
nfcorpus,controlled,primary,mugi_controlled,5,60,1000,0.3778511348426311,0.2248152180753165,0.9391124871001032
nfcorpus,controlled,primary,original,5,60,10,0.3647761218005764,0.19324533172485842,0.0
nfcorpus,controlled,primary,original,5,60,20,0.3637243371465347,0.21161593470004508,0.13622291021671826
nfcorpus,controlled,primary,original,5,60,50,0.3642918839485271,0.21412353849441895,0.26625386996904027
nfcorpus,controlled,primary,original,5,60,100,0.36369583708952874,0.21107875771118037,0.47058823529411764
nfcorpus,controlled,primary,original,5,60,200,0.3653066960974393,0.2099528811718646,0.6563467492260062
nfcorpus,controlled,primary,original,5,60,500,0.3666299634761476,0.20979359910710393,0.7863777089783281
nfcorpus,controlled,primary,original,5,60,1000,0.3669274799188267,0.21002836120416243,0.8668730650154799
nfcorpus,controlled,primary,proposed,5,60,10,0.38139976874051423,0.19981960307667174,0.0
nfcorpus,controlled,primary,proposed,5,60,20,0.3812543864332526,0.22406837076501743,0.13209494324045407
nfcorpus,controlled,primary,proposed,5,60,50,0.37856809467898,0.22438022402773775,0.2951496388028896
nfcorpus,controlled,primary,proposed,5,60,100,0.3785684387235396,0.22031686249565727,0.52218782249742
nfcorpus,controlled,primary,proposed,5,60,200,0.3788164485245755,0.21823733021907538,0.6862745098039216
nfcorpus,controlled,primary,proposed,5,60,500,0.3792363883538435,0.21851782378228224,0.8297213622291022
nfcorpus,controlled,primary,proposed,5,60,1000,0.37916797588487217,0.21964923161081504,0.8998968008255934
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,10,0.3764561880995924,0.20048262615359197,0.0
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,20,0.37791590223878085,0.22401257853008488,0.13725490196078433
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,50,0.3769320512637454,0.22316596489463808,0.29102167182662536
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,100,0.37702433162975174,0.220358668972074,0.542827657378741
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,200,0.37731541991693307,0.21948142721573038,0.7192982456140351
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,500,0.377695639388631,0.2187419134039303,0.8369453044375645
nfcorpus,controlled,primary,sparse_boolean_mask,5,60,1000,0.37768960441162724,0.2197584158275123,0.9060887512899897
nfcorpus,controlled,primary,sparse_only,5,60,10,0.3741375493262909,0.19642551863945465,0.0
nfcorpus,controlled,primary,sparse_only,5,60,20,0.3731794975738898,0.2154440160247601,0.13622291021671826
nfcorpus,controlled,primary,sparse_only,5,60,50,0.3679453287926883,0.21571842936943073,0.2724458204334365
nfcorpus,controlled,primary,sparse_only,5,60,100,0.3687286223821749,0.2138132651513002,0.5025799793601651
nfcorpus,controlled,primary,sparse_only,5,60,200,0.3698412567085637,0.21392031993708166,0.6769865841073271
nfcorpus,controlled,primary,sparse_only,5,60,500,0.3709610356909608,0.2125488611629011,0.8214654282765738
nfcorpus,controlled,primary,sparse_only,5,60,1000,0.37126398750052425,0.213641396364611,0.8875128998968008
nfcorpus,controlled,primary,sparse_references_only,5,60,10,0.37618711995203474,0.20798809457661235,0.0
nfcorpus,controlled,primary,sparse_references_only,5,60,20,0.37763163677827594,0.22584279769141782,0.0
nfcorpus,controlled,primary,sparse_references_only,5,60,50,0.3751608960133168,0.22544140114724895,0.14035087719298245
nfcorpus,controlled,primary,sparse_references_only,5,60,100,0.37529711744923816,0.22091432715170545,0.4231166150670795
nfcorpus,controlled,primary,sparse_references_only,5,60,200,0.37606771815089496,0.22124342516336273,0.6501547987616099
nfcorpus,controlled,primary,sparse_references_only,5,60,500,0.3763703049903692,0.22157727458847942,0.8596491228070176
nfcorpus,controlled,primary,sparse_references_only,5,60,1000,0.37624436494207286,0.22146267550139395,0.9246646026831785
scidocs,controlled,primary,bridge_shared,5,60,10,0.19281034680336867,0.25653333333333334,0.0
scidocs,controlled,primary,bridge_shared,5,60,20,0.19001202595164424,0.2800111111111111,0.0
scidocs,controlled,primary,bridge_shared,5,60,50,0.190743673243235,0.2768277777777778,0.132
scidocs,controlled,primary,bridge_shared,5,60,100,0.19028360525715826,0.27456111111111114,0.5326666666666666
