dataset,query_id,dense_residual_norm,dense_angle_degrees,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct,sparse_support_equal
scidocs,1e7021eb8e92066b972452a0ce5a54529ca4ba5a,0.2152684777975082,12.148425050003752,1.0,0.0,0.7166666666666667,0.2833333333333333,0.6733333333333333,0.0486143944138733,354.1666666666667,4.0,0.0,0.0,-30.769230769230774,-31.034482758620694,0.0,0.0,7.122507122507127,7.183908045977013,0.0,0.0,-13.390313390313395,-13.505747126436788,True
scidocs,1eed0e731008236ddc956ffbbe9051e13d54f2ec,0.24487802386283872,13.759653140808174,1.0,0.0,0.9,0.09999999999999996,0.8866666666666667,-0.034739938089865766,-11.0,5.0,-0.09076218495193304,0.06666666666666664,-18.518518518518523,-17.90123456790123,-0.10766051906694836,0.0,12.962962962962967,12.962962962962967,-0.1801463475762407,0.0,-6.79012345679012,-6.172839506172841,True
scidocs,1f081ad6fa8a623e9d3e0c94274019d24db4659b,0.16265591979026792,9.238105608854335,1.0,0.0,0.7999999999999999,0.19999999999999993,0.7933333333333333,0.0017914254056338671,-327.22222222222223,3.0,0.0,0.0,47.58577443339604,47.58577443339604,0.0,0.0,22.664158380363705,22.664158380363705,0.0,-0.06666666666666667,49.234076861058846,49.24303502642658,True
scidocs,1f10c64bf2069062811209a27cc4ff7b65fa02e9,0.23232815166314438,13.079141925524569,1.0,0.0,0.4666666666666666,0.5333333333333333,0.7333333333333334,0.0032861987368323,180.08333333333334,4.0,-0.113053401757872,0.20000000000000004,14.523809523809524,14.523809523809524,-0.17103431525000615,0.0,25.47619047619047,25.47619047619047,-0.13835455330622048,0.20000000000000004,37.142857142857146,37.142857142857146,True
scidocs,1f157f2b144528924eec46d9316bd5517352b89a,0.2649508515993754,14.838494463514175,1.0,0.0,0.9500000000000001,0.04999999999999997,0.6966666666666667,0.003420656570582633,2055.8333333333335,4.0,0.0,0.0,-57.456140350877206,-58.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,-58.7719298245614,-59.555555555555564,True
scidocs,1f1da6d6077b0a6ad6ab724741fb36f64e7c6cc9,0.1493485073248545,8.494193043891007,1.0,0.0,0.5,0.5,0.6233333333333334,-0.00040738103172426667,151.66666666666666,2.0,0.0,0.0,13.78299120234604,13.78299120234604,0.0,0.0,25.219941348973606,25.219941348973606,0.0,0.0,27.956989247311828,28.152492668621704,True
scidocs,1f576e4cfe7c5426e383cd06608411e81b509feb,0.1893060704072316,10.718837734477141,1.0,0.0,0.7000000000000001,0.3,0.7200000000000001,0.0009810494920761,710.3333333333334,4.0,-0.0803736398140863,0.0,16.276292826306605,16.278535666712603,0.023106099864591268,0.0,42.4864517314228,42.492306278994995,-0.075368934505248,0.0,82.72251308900523,82.73391208488356,True
scidocs,1fd7fc06653723b05abe5f3d1de393ddcf6bdddb,0.2847127914428711,15.89096399538152,1.0,0.0,0.7166666666666667,0.28333333333333327,0.8566666666666666,-0.007723760114747767,599.6,5.0,0.07171693229359453,0.0,20.751633986928102,21.241830065359476,0.0,-0.13333333333333333,26.960784313725494,26.960784313725494,0.0,0.0,24.83660130718954,25.326797385620917,True
scidocs,1fdec82c846cb843a496e5edfec72787f34d308a,0.2521038005749384,14.148127502912578,1.0,0.0,0.6166666666666667,0.3833333333333333,0.8033333333333333,-0.0002338024442335235,66.4,5.0,0.0,0.0,-35.13701005896636,-35.13701005896636,0.0,0.0,22.962192160943463,22.962192160943463,0.0,0.0,40.16649323621228,40.16649323621228,True
scidocs,1feebbe8af1e60048cb82bbcbadc07b4d3f210d6,0.19427795211474097,10.992199950520451,1.0,0.0,0.8333333333333334,0.16666666666666663,0.8633333333333333,0.0009261560521305999,281.06666666666666,5.0,0.0,0.0,23.408239700374533,22.975517890772124,0.0,0.0,-16.104868913857683,-16.19585687382298,0.0,0.0,13.670411985018726,13.74764595103578,True
scidocs,2011feb353fed560b0643dc9db6528317c643957,0.2514355977376302,14.11266482756465,1.0,0.0,0.5499999999999999,0.45,0.8833333333333333,0.03114487303557263,-9.166666666666666,2.0,0.0,0.0,8.982035928143715,9.03614457831325,0.0,0.0,14.570858283433132,14.65863453815261,-0.0078372509313672,0.0,20.95808383233533,21.08433734939759,True
scidocs,20534da8c7ee7063cbb32620d53e7322f90be2e0,0.1994297156731287,11.276203182263544,1.0,0.0,0.8833333333333333,0.1166666666666666,0.9,-3.893890971110763e-05,-3.066666666666665,5.0,0.0,0.0,2.941176470588236,1.9801980198019749,0.0,0.0,12.091503267973854,11.88118811881188,0.0,0.0,21.89542483660131,21.78217821782178,True
scidocs,20704643278111342011c702aedf66c04a2c8e63,0.27420944968859345,15.332993388581372,1.0,0.0,0.8666666666666667,0.1333333333333333,0.8433333333333334,-0.046998367219697905,20.666666666666668,3.0,0.0,0.0,-13.745704467353955,-13.402061855670107,0.0,0.0,14.776632302405497,15.120274914089348,0.0,0.0,-18.213058419243982,-17.869415807560134,True
scidocs,208d2d6ae61955d93b13a5a497c10ba8c7086e87,0.16086181004842118,9.13725397166589,1.0,0.0,0.85,0.14999999999999994,0.8466666666666667,0.09001710729821323,0.8333333333333334,2.0,0.0,0.0,-16.74718196457327,-16.74718196457327,0.029604108065146333,0.0,13.52657004830918,13.687600644122384,0.029604108065146333,0.0,-8.695652173913041,-8.695652173913041,True
scidocs,2094f315289ccf9b676e0790fb3dd1bc4acad98c,0.20963245133558905,11.837562680071798,1.0,0.0,0.7166666666666667,0.2833333333333333,0.8666666666666667,0.08157610269895313,15.533333333333333,5.0,0.0,0.06666666666666667,6.756756756756754,6.349206349206352,0.0,0.06666666666666667,7.432432432432431,7.2562358276644,-0.0078372509313672,0.06666666666666667,-6.531531531531527,-7.029478458049887,True
scidocs,212d7af298a4bd9090b834293067d2f091a95cfc,0.15994532903035477,9.086833167758357,1.0,0.0,0.6,0.3999999999999999,0.7566666666666667,-0.0006549140992325335,-144.0,5.0,0.0,0.0,-29.89130434782609,-30.054644808743166,0.0,0.0,1.4492753623188435,1.0928961748633885,0.0,0.0,5.253623188405794,4.73588342440802,True
scidocs,2170636d5d31eb461618b5da10f4473c67e74e73,0.16149514913558952,9.17375648887596,1.0,0.0,0.9,0.09999999999999991,0.85,0.004603219573359167,5.0,4.0,0.0,-0.20000000000000004,-12.82051282051282,-13.15789473684211,0.0,-0.13333333333333333,13.675213675213675,12.280701754385968,0.0,-0.20000000000000004,15.384615384615385,14.035087719298247,True
scidocs,21a3a10bd30461c62140bd7ad0153935ae34ae5b,0.24614002803961435,13.814917121747726,1.0,0.0,0.5833333333333334,0.4166666666666667,0.73,0.0104694006506827,189.08333333333334,4.0,0.0,-0.33333333333333326,-45.22792022792023,-45.32476802284082,0.03403246504097054,0.0,43.660968660968656,43.75446109921484,0.025468380200591532,-0.19999999999999987,35.826210826210826,35.90292648108494,True
scidocs,21b1180af3087c1333708a9873f6d473eabe6751,0.14857165515422818,8.450240643628993,1.0,0.0,0.8666666666666667,0.1333333333333333,0.8533333333333334,-3.847776666566673e-06,-0.75,4.0,-0.04172464684636284,0.0,9.174311926605501,9.20245398773006,-0.04172464684636284,-0.06666666666666667,-9.785932721712543,-9.815950920245397,-0.08344929369272568,0.0,-7.951070336391431,-7.975460122699382,True
scidocs,222d908535d67563709bb72de7aed4739133ee3e,0.15497127423683796,8.785052384504775,1.0,0.0,0.9500000000000001,0.04999999999999997,0.9400000000000001,0.0014057105525568,-13.133333333333333,5.0,0.0,0.0,-10.077519379844965,-10.15625,0.0,0.0,-5.943152454780365,-5.989583333333333,0.0,0.06666666666666667,-13.69509043927649,-13.802083333333334,True
scidocs,223bb68a9ca2df2d07335e2073fcc78b59e4edd7,0.16004836559295654,9.092729570807663,1.0,0.0,0.8666666666666667,0.13333333333333322,0.8733333333333334,-0.0051792803173626,-19.666666666666668,1.0,0.0,0.0,15.277777777777777,15.277777777777777,0.0,0.0,26.388888888888886,26.388888888888886,0.0,0.0,28.125,28.125,True
scidocs,232427099d4a8acf1dc29efc852f09c5964e6165,0.18973351021607718,10.739270096615229,1.0,0.0,0.7333333333333334,0.26666666666666666,0.6933333333333334,0.002626144026723167,987.2000000000002,5.0,0.0,0.06666666666666667,25.084516565246787,25.000000000000004,0.03566437745575456,0.0,52.535496957403645,52.50677506775068,0.06535952388757134,0.06666666666666667,52.87356321839081,52.84552845528456,True
scidocs,23386571ed332e4a465c0a6fa899f310caa217c8,0.16218555470307663,9.21214719766843,1.0,0.0,0.7833333333333333,0.21666666666666665,0.8133333333333334,0.007149643806541266,1920.1999999999998,5.0,0.0,0.0,22.748815165876778,22.6984126984127,0.0,0.0,17.377567140600316,17.46031746031746,0.0,0.0,30.01579778830964,30.15873015873016,True
scidocs,23a7c8d9f142184d28e56b0751e172fef6539275,0.20874285201231635,11.789859660720092,1.0,0.0,0.7999999999999999,0.19999999999999996,0.8333333333333334,0.05593492029259933,-15.555555555555557,3.0,0.11822533571895345,0.0,-8.212560386473433,-7.729468599033818,0.09939198892854188,0.0,6.763285024154584,6.763285024154584,0.12427589430377668,0.0,-25.120772946859905,-24.637681159420286,True
scidocs,23b93f3b237481bd1d36941ca3312bb16f4beb58,0.171209176381429,9.715360201377242,1.0,0.0,0.5333333333333333,0.4666666666666666,0.81,0.0010901043223616334,556.6666666666666,4.0,0.0,0.0,-13.844797178130513,-13.881520778072511,0.0,0.0,48.236331569664905,48.36427939876216,0.0,0.0,39.24162257495591,39.34571175950486,True
scidocs,23ce229565447f22d5ef2b6d7cbd6d8003254ac2,0.2678304463624954,14.989452379983447,1.0,0.0,0.75,0.24999999999999992,0.8366666666666666,0.0005591161610619333,510.4444444444444,3.0,0.0,0.0,-0.4149377593361052,-0.4149377593361052,0.0,0.0,-47.164591977869996,-47.164591977869996,0.0,0.0,-31.258644536652838,-31.258644536652838,True
scidocs,23fa7b866a1b1fee7bb71c8b5a9235cca7120bbc,0.3529875576496124,19.42923879297861,1.0,0.0,0.6333333333333333,0.36666666666666664,0.7799999999999999,-0.0008464933885586334,-13.5,2.0,0.0,0.0,-2.1367521367521367,-2.1367521367521367,0.0,0.0,-26.495726495726498,-26.495726495726498,0.0,0.06666666666666667,3.4188034188034173,3.4188034188034173,True
scidocs,240cd5f1b47a68c9dcc04b3921e69093c9a55b02,0.17716084917386365,10.046186735099743,1.0,0.0,0.7666666666666666,0.2333333333333333,0.8166666666666668,0.008871876686241866,1.3333333333333333,5.0,0.0002792093175992,0.0,-34.256207426939135,-34.27880386983289,0.0,0.0,-31.070094484728628,-31.09058927000879,0.013541973615501099,0.0,0.9887936717205023,0.9894459102902357,True
scidocs,2468a43e935adcee0303ba39e348c2bc0c4379a7,0.21867192784945166,12.334383975486901,1.0,0.0,0.6333333333333333,0.3666666666666667,0.6766666666666666,0.05083495496151443,28.866666666666664,5.0,0.0,-0.19999999999999987,7.407407407407411,7.430997876857748,0.07232432698877729,0.0,72.6984126984127,72.92993630573248,0.029604108065146333,0.0,68.04232804232805,68.25902335456475,True
scidocs,24b8b9dccfb67641c78d28ee6b56815191f34d87,0.24017611145973206,13.501561500288423,1.0,0.0,0.7666666666666666,0.2333333333333333,0.84,0.07992254146678873,569.2666666666668,5.0,0.23030450095594093,0.0,39.90086741016109,39.90086741016109,0.014802054032573167,0.0,20.322180916976453,20.322180916976453,0.18518143130337794,0.0,57.49690210656754,57.49690210656754,True
scidocs,2520c3d5d114974167561591a57f80e89650f862,0.2656362255414327,14.874117474732254,1.0,0.0,0.8166666666666668,0.18333333333333326,0.9066666666666667,0.0002214147814008,595.6666666666666,2.0,0.0,0.0,10.606060606060604,10.606060606060604,0.0,0.0,11.515151515151516,11.515151515151516,0.0,0.0,6.060606060606059,6.060606060606059,True
