dataset,query_id,dense_angle_degrees,dense_residual_norm,sparse_top20_turnover,sparse_top100_overlap
arguana,test-economy-egiahbwaka-pro02a,3.1475891195632464,0.0549916749199231,0.09999999999999991,0.9
arguana,test-economy-egiahbwaka-pro03a,3.7241434439629857,0.06509173040588691,0.11666666666666659,0.9366666666666666
arguana,test-economy-egppphbcb-con01a,4.132802852428874,0.07225641856590903,0.05000000000000001,0.9133333333333334
arguana,test-economy-egppphbcb-con02a,5.786289734660474,0.10133470098177587,0.21666666666666665,0.77
arguana,test-economy-egppphbcb-con03a,3.4808014221903,0.0608263214429219,0.09999999999999991,0.92
arguana,test-economy-egppphbcb-pro01a,3.5288436818040925,0.06166987369457877,0.09999999999999991,0.8733333333333334
arguana,test-economy-egppphbcb-pro02a,3.483198877522344,0.0608684768279393,0.16666666666666655,0.8966666666666666
arguana,test-economy-egppphbcb-pro03a,3.4153068227578878,0.0596806568404038,0.09999999999999996,0.9199999999999999
arguana,test-economy-egppphbcb-pro04a,4.646800395104971,0.0812803556521733,0.06666666666666664,0.8666666666666667
arguana,test-economy-epegiahsc-con01a,5.144218098127507,0.09002570807933803,0.08333333333333326,0.8433333333333333
arguana,test-economy-epegiahsc-con02a,4.108614702879298,0.07183272888263063,0.08333333333333333,0.9333333333333332
arguana,test-economy-epegiahsc-con03a,5.661535477613685,0.09913575649261473,0.06666666666666664,0.8666666666666667
arguana,test-economy-epegiahsc-con04a,4.137394173364409,0.07233731697003043,0.09999999999999996,0.9333333333333332
arguana,test-economy-epegiahsc-pro01a,3.280906817736763,0.057325582951307234,0.06666666666666664,0.92
arguana,test-economy-epegiahsc-pro02a,3.902266679117691,0.06821298102537787,0.1333333333333333,0.85
arguana,test-economy-epegiahsc-pro03a,3.6357139184423644,0.06354068219661707,0.09999999999999991,0.8733333333333334
arguana,test-economy-epehwmrbals-con01a,3.4668476163471538,0.06058187161882713,0.0,0.94
